Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps),PIN Code
T2DA81C41,ACC19011,ACC25721,894.94,Transfer,2024-09-02 15:04:47,Success,False,"32.7046 N, -117.2055 W",Desktop,Ethernet,4,177,3779
T2DAEE42D,ACC48650,ACC76457,1129.88,Transfer,2024-04-20 10:56:00,Success,True,"35.7463 N, -78.6745 W",Mobile,5G,30,127,6374
T0C478FB7,ACC63242,ACC88672,986.71,Withdrawal,2024-06-24 10:41:00,Failed,False,"40.001 N, -75.1473 W",Mobile,3G,153,211,8832
TDBFD0058,ACC74608,ACC33619,144.1,Transfer,2024-10-31 10:49:00,Failed,False,"32.7778 N, -97.289 W",Desktop,Ethernet,4,52,6286
TBF079F39,ACC81201,ACC20704,3466.42,Transfer,2024-02-19 09:34:09,Success,True,"36.1262 N, -86.7606 W",Mobile,LTE,40,170,4366
T970443E1,ACC65228,ACC34461,1009.5,Withdrawal,2024-05-19 10:10:00,Success,True,"40.7604 N, -74.0198 W",Mobile,5G,44,153,4217
TB7C702AF,ACC36472,ACC96893,872.63,Withdrawal,2024-07-12 10:24:00,Success,False,"41.9022 N, -87.6152 W",Mobile,5G,31,214,7499
TBBE56B07,ACC68203,ACC30527,671.09,Transfer,2024-02-26 10:26:00,Success,True,"32.2037 N, -110.9508 W",Mobile,5G,30,226,3380
T9A5B35B5,ACC25986,ACC14717,140.89,Withdrawal,2024-10-04 10:32:00,Failed,False,"40.7304 N, -73.9659 W",Mobile,LTE,83,122,9155
T2A8A9848,ACC97862,ACC11323,1263.45,Deposit,2024-02-25 10:47:00,Success,False,"29.7894 N, -95.3392 W",Desktop,Ethernet,2,188,1815
T21F6CE02,ACC84409,ACC68618,1121.31,Transfer,2024-07-12 10:38:00,Failed,False,"39.7971 N, -86.1785 W",Mobile,LTE,73,95,6745
T27485755,ACC11545,ACC80855,883.68,Transfer,2024-01-13 10:04:00,Failed,True,"40.6973 N, -73.9825 W",Mobile,LTE,87,90,4555
T317319E5,ACC52721,ACC22595,906.98,Withdrawal,2024-01-01 19:30:21,Failed,True,"31.7908 N, -106.4435 W",Mobile,5G,22,102,6150
TD97B5CD2,ACC83398,ACC99759,1174.55,Transfer,2024-11-28 15:30:17,Failed,False,"41.8888 N, -87.6552 W",Mobile,5G,23,84,6473
TA1D7FFAE,ACC12241,ACC33988,1062.28,Withdrawal,2024-11-28 18:52:22,Failed,False,"34.0397 N, -118.219 W",Desktop,Wi-Fi,10,88,3704
TDF299ADA,ACC31607,ACC40732,689.86,Deposit,2024-01-23 10:40:00,Failed,True,"40.691 N, -73.9942 W",Mobile,5G,24,110,9996
TF2D176D9,ACC40581,ACC13227,1116.07,Withdrawal,2024-11-29 10:49:00,Success,False,"34.0948 N, -118.2539 W",Mobile,5G,43,219,8529
TCF2992CF,ACC83705,ACC33437,1436.82,Withdrawal,2024-10-19 04:07:33,Success,True,"40.7574 N, -74.0274 W",Desktop,Ethernet,5,104,7071
T32A320D2,ACC10098,ACC31423,402.64,Transfer,2024-11-02 10:36:00,Failed,False,"42.4031 N, -71.0118 W",Mobile,LTE,36,231,9797
TA3260D33,ACC49303,ACC99378,313.72,Deposit,2024-07-29 10:32:00,Failed,True,"34.0038 N, -118.2544 W",Desktop,Ethernet,4,55,7513
TF8B50936,ACC86428,ACC65003,1172.55,Deposit,2024-08-08 10:29:00,Success,True,"39.98 N, -75.1231 W",Mobile,5G,24,185,1248
T368ACFD2,ACC35025,ACC67292,1458.87,Deposit,2024-03-14 10:25:00,Failed,False,"37.8297 N, -122.2592 W",Mobile,5G,44,136,7296
T58B85DED,ACC46185,ACC54485,616.37,Transfer,2024-08-23 10:48:00,Failed,True,"33.7546 N, -118.217 W",Desktop,Ethernet,4,79,4823
TE0024548,ACC54347,ACC45640,599.34,Deposit,2024-03-29 04:07:33,Success,False,"33.4366 N, -111.8538 W",Mobile,LTE,70,98,9467
T3C58A0A6,ACC79850,ACC64592,926.66,Withdrawal,2024-09-10 10:40:00,Success,True,"32.7197 N, -97.3726 W",Mobile,5G,21,83,3347
T052B1B7D,ACC51150,ACC42784,743.4,Transfer,2024-05-04 10:37:00,Failed,False,"36.1186 N, -86.7423 W",Desktop,Wi-Fi,24,222,9753
T6D67C666,ACC54726,ACC89370,655.98,Deposit,2024-06-06 10:40:00,Success,False,"41.8612 N, -87.6655 W",Mobile,5G,39,239,8579
TE1D58C4B,ACC73139,ACC10365,420.72,Transfer,2024-12-01 10:37:00,Success,False,"37.7654 N, -122.3185 W",Desktop,Wi-Fi,13,220,2894
TDBA46BD9,ACC57300,ACC46999,1257.78,Deposit,2024-12-09 10:05:00,Failed,False,"39.7365 N, -86.1693 W",Desktop,Wi-Fi,14,176,9355
T04F02BAC,ACC45830,ACC66726,480.29,Withdrawal,2024-01-01 00:39:08,Failed,True,"41.8529 N, -87.6522 W",Mobile,LTE,73,84,3773
TC185B41A,ACC90900,ACC53471,1344.01,Withdrawal,2024-02-23 10:46:00,Failed,False,"27.9847 N, -82.429 W",Mobile,5G,27,63,4791
TA1EED579,ACC98407,ACC76557,499.18,Withdrawal,2024-02-01 10:31:00,Success,True,"30.2554 N, -97.7825 W",Mobile,5G,24,231,8697
T0F35AC65,ACC32328,ACC14535,250.27,Transfer,2024-06-18 10:58:00,Failed,False,"34.0077 N, -118.26 W",Mobile,5G,31,109,3285
T21C10F1C,ACC70325,ACC90820,978.39,Deposit,2024-03-06 10:55:00,Success,False,"33.4908 N, -112.0424 W",Desktop,Ethernet,2,210,8025
TB4F127D4,ACC34364,ACC98698,571.22,Transfer,2024-06-04 10:23:00,Success,False,"38.805 N, -104.8074 W",Desktop,Ethernet,6,185,5087
T1EEABC21,ACC95768,ACC53403,1037.73,Withdrawal,2024-11-29 01:22:36,Failed,False,"40.7463 N, -74.0249 W",Desktop,Wi-Fi,18,190,7238
TD2541DA5,ACC96637,ACC45161,578.36,Withdrawal,2024-11-22 10:41:00,Failed,True,"30.3062 N, -97.7313 W",Mobile,5G,43,200,5563
T1C13796F,ACC23612,ACC74572,1452.12,Deposit,2024-10-21 10:23:00,Failed,True,"39.7905 N, -86.1342 W",Desktop,Wi-Fi,22,168,7203
T388ECE96,ACC81201,ACC20704,217.56,Transfer,2024-09-10 10:35:00,Success,True,"32.7277 N, -117.1326 W",Mobile,5G,18,170,4366
T9CFE91BF,ACC97833,ACC23301,1054.35,Deposit,2024-10-14 07:44:04,Success,False,"35.1838 N, -80.8213 W",Desktop,Wi-Fi,15,120,9852
TE659A187,ACC22489,ACC48565,1063.01,Transfer,2024-04-18 10:31:00,Success,False,"36.712 N, -119.8339 W",Mobile,LTE,35,143,7105
TDB9300BB,ACC77412,ACC28013,198.65,Transfer,2024-08-25 10:37:00,Failed,False,"39.9372 N, -75.1895 W",Desktop,Ethernet,7,535,9622
TC59313BF,ACC93548,ACC42106,630.84,Withdrawal,2024-04-04 10:54:00,Failed,False,"29.4582 N, -98.4472 W",Desktop,Wi-Fi,14,207,2495
T8F1C4E89,ACC29057,ACC51605,1080.59,Deposit,2024-07-31 10:30:00,Success,False,"38.2985 N, -85.7785 W",Desktop,Ethernet,5,99,7077
T8E5AE8A3,ACC36712,ACC63075,149.22,Deposit,2024-07-08 11:00:00,Success,True,"34.0104 N, -118.2764 W",Mobile,5G,27,181,8448
T36709667,ACC53418,ACC92611,1325.97,Deposit,2024-10-19 10:06:00,Failed,False,"27.9182 N, -82.4278 W",Desktop,Ethernet,5,178,5448
T1CC8EF4A,ACC81249,ACC67099,585.21,Withdrawal,2024-06-29 10:33:00,Success,True,"34.0159 N, -118.231 W",Mobile,LTE,86,190,6561
TC99FD6C9,ACC17147,ACC83990,797.15,Withdrawal,2024-04-12 10:18:00,Success,True,"39.7915 N, -86.1811 W",Mobile,5G,32,108,8413
T3000766B,ACC36112,ACC39686,1483.4,Withdrawal,2024-08-29 10:21:00,Failed,False,"29.721 N, -95.4014 W",Mobile,LTE,50,138,4142
T77A681FC,ACC56361,ACC44899,1119.63,Transfer,2024-04-27 10:39:00,Failed,False,"36.8967 N, -75.9607 W",Desktop,Wi-Fi,19,113,7071
TD34ED584,ACC59991,ACC77139,947.46,Deposit,2024-08-25 10:32:00,Failed,True,"34.0087 N, -118.2056 W",Desktop,Wi-Fi,25,54,7884
T43AC2B1E,ACC66844,ACC30757,497.06,Deposit,2024-05-15 10:25:00,Failed,True,"37.3873 N, -121.9064 W",Desktop,Wi-Fi,15,113,8985
T933829BA,ACC57627,ACC98533,374.88,Deposit,2024-04-30 10:38:00,Failed,True,"41.2115 N, -95.9202 W",Mobile,5G,44,81,8985
T17D0BDA7,ACC94090,ACC46023,960.36,Transfer,2024-08-08 10:49:00,Success,True,"25.7775 N, -80.2123 W",Desktop,Wi-Fi,10,162,1366
T41A845D5,ACC91269,ACC19289,1331.16,Deposit,2024-08-14 10:24:00,Success,False,"33.4882 N, -112.1172 W",Mobile,LTE,40,232,4545
TCCACB740,ACC44381,ACC45138,723.45,Transfer,2024-09-09 10:38:00,Success,True,"39.9737 N, -75.1401 W",Desktop,Ethernet,8,207,4979
T570FB25D,ACC94052,ACC92241,256.17,Transfer,2024-01-16 11:00:00,Failed,False,"39.9206 N, -83.041 W",Desktop,Ethernet,2,148,8852
T2CFA4B61,ACC36472,ACC96893,872.63,Withdrawal,2024-05-03 10:24:00,Success,False,"36.1356 N, -86.7486 W",Mobile,5G,25,214,7499
TC8DA0340,ACC45743,ACC71307,411.11,Withdrawal,2024-07-17 10:38:00,Success,True,"41.926 N, -87.6022 W",Mobile,3G,216,144,8779
T9675E267,ACC37253,ACC11656,503.36,Transfer,2024-10-11 10:37:00,Failed,True,"35.42 N, -97.4908 W",Mobile,LTE,60,237,8005
T728DBF52,ACC46333,ACC52400,105.99,Withdrawal,2024-12-25 14:54:07,Failed,True,"40.7021 N, -74.017 W",Desktop,Ethernet,3,87,7605
TA4B8ED6A,ACC42629,ACC27937,159.86,Deposit,2024-12-12 10:50:00,Success,True,"40.6804 N, -73.9864 W",Desktop,Ethernet,7,207,3588
TA836863C,ACC16789,ACC21980,495.36,Transfer,2024-02-27 10:02:00,Failed,False,"32.6869 N, -117.1433 W",Mobile,5G,36,155,9888
T711BEB8F,ACC54180,ACC62788,411.08,Transfer,2024-11-25 10:59:00,Success,False,"35.4905 N, -97.4988 W",Desktop,Wi-Fi,8,150,6586
T07276937,ACC13553,ACC11678,677.07,Transfer,2024-07-19 10:39:00,Failed,False,"34.0359 N, -118.2808 W",Desktop,Ethernet,4,87,7731
TCC214684,ACC50922,ACC98669,1094.34,Transfer,2024-05-16 10:55:00,Failed,False,"30.283 N, -81.6312 W",Mobile,5G,42,102,7573
TF7CB5D68,ACC82403,ACC83827,486.01,Transfer,2024-06-19 09:56:24,Success,True,"35.42 N, -97.4903 W",Mobile,Wi-Fi,29,104,7372
T57F9B80B,ACC80030,ACC20498,404.35,Transfer,2024-10-25 10:30:00,Success,False,"30.3574 N, -81.6072 W",Desktop,Ethernet,6,232,5706
TA9C75969,ACC33822,ACC17633,298.62,Transfer,2024-07-05 10:21:00,Success,True,"40.7255 N, -73.9914 W",Mobile,LTE,87,194,5248
T5118695F,ACC29209,ACC17339,384.19,Transfer,2024-02-17 10:59:00,Success,False,"38.8489 N, -104.797 W",Mobile,5G,41,178,5425
TBDBCBF88,ACC51099,ACC58882,420.86,Deposit,2024-06-11 10:46:00,Success,False,"42.2829 N, -83.0817 W",Mobile,5G,22,68,8033
T2FCFD2D5,ACC33515,ACC12270,131.53,Transfer,2024-09-05 10:58:00,Failed,False,"36.1232 N, -86.7322 W",Desktop,Ethernet,6,82,5473
T3292A856,ACC65344,ACC32205,1287.51,Transfer,2024-10-08 10:37:00,Success,True,"29.9927 N, -90.0319 W",Desktop,Ethernet,4,238,2434
TF38B6040,ACC18533,ACC39186,1123.86,Deposit,2024-11-20 10:12:00,Success,False,"37.799 N, -122.4399 W",Desktop,Ethernet,3,132,6808
TDD510988,ACC71625,ACC14447,1284.02,Deposit,2024-10-06 10:34:00,Failed,False,"37.7562 N, -122.4431 W",Desktop,Wi-Fi,22,149,6622
TBCFF277B,ACC33315,ACC48785,728.37,Withdrawal,2024-01-28 10:11:00,Failed,False,"34.0735 N, -118.2198 W",Mobile,5G,42,212,7808
T3A64A8F4,ACC49933,ACC88043,777.59,Transfer,2024-12-18 10:49:00,Failed,False,"41.898 N, -87.6529 W",Mobile,5G,32,211,4147
TD92C159F,ACC90218,ACC96495,99.03,Transfer,2024-12-29 10:11:00,Failed,False,"47.5725 N, -122.3532 W",Desktop,Ethernet,4,220,9318
T5D2FEB80,ACC53355,ACC88440,1421.77,Deposit,2024-09-03 04:07:33,Failed,False,"33.4327 N, -112.053 W",Mobile,3G,185,181,4697
TF1578941,ACC66411,ACC85248,712.91,Deposit,2024-09-03 10:14:00,Failed,True,"34.0623 N, -118.2799 W",Mobile,5G,38,214,2961
T527EE0D3,ACC58515,ACC82997,1292.74,Transfer,2024-11-14 10:41:00,Failed,True,"38.8154 N, -104.8635 W",Desktop,Ethernet,4,181,4915
T8A8AA03E,ACC74018,ACC41258,628.16,Deposit,2024-08-27 10:02:00,Failed,False,"29.7451 N, -95.3534 W",Mobile,5G,23,62,1592
T37D9BA10,ACC75685,ACC92454,1488.93,Deposit,2024-05-15 04:07:33,Failed,True,"35.0719 N, -106.6895 W",Mobile,LTE,81,228,3060
TB640C40C,ACC48650,ACC76457,1129.88,Transfer,2024-03-28 10:56:00,Success,True,"42.3695 N, -83.0714 W",Mobile,5G,36,127,6374
T0B31A6D5,ACC89997,ACC99632,654.1,Transfer,2024-05-23 10:48:00,Failed,True,"40.6896 N, -73.9878 W",Desktop,Ethernet,3,244,9961
T9938B64E,ACC57627,ACC98533,374.88,Deposit,2024-04-10 10:38:00,Failed,True,"29.4661 N, -98.4715 W",Mobile,3G,154,81,8985
T581D1227,ACC67955,ACC99356,929.9,Transfer,2024-02-18 10:19:00,Success,False,"32.7213 N, -97.3549 W",Mobile,5G,21,134,3155
T37299B9A,ACC32012,ACC88630,864.07,Transfer,2024-07-03 10:48:00,Success,False,"32.7412 N, -96.7518 W",Desktop,Ethernet,3,199,1263
T4C614783,ACC79919,ACC39708,1250.33,Deposit,2024-09-12 10:51:00,Success,True,"37.8208 N, -122.3952 W",Mobile,5G,34,247,1831
TE1AD9EB2,ACC54288,ACC92031,1190.81,Transfer,2024-06-24 10:47:00,Failed,True,"39.7857 N, -86.1855 W",Mobile,LTE,50,107,6866
T391726B5,ACC62274,ACC60301,58.13,Withdrawal,2024-04-04 10:04:00,Success,False,"34.0299 N, -118.2269 W",Desktop,Ethernet,3,207,3104
T7A293EC2,ACC98500,ACC12069,635.34,Withdrawal,2024-04-20 10:54:00,Success,True,"35.2084 N, -80.8025 W",Mobile,LTE,40,221,8638
TAB2FC12F,ACC86726,ACC75108,698.69,Transfer,2024-07-04 11:24:34,Success,True,"41.8364 N, -87.647 W",Mobile,5G,35,82,4951
T64E04291,ACC51158,ACC27191,692.63,Withdrawal,2024-08-25 10:51:00,Success,False,"41.8538 N, -87.5927 W",Mobile,LTE,59,151,8513
TC5F99723,ACC54508,ACC76859,459.19,Transfer,2024-09-25 10:46:00,Failed,False,"38.5549 N, -121.4682 W",Desktop,Ethernet,2,62,4033
T97D8FFB2,ACC44202,ACC82680,1123.09,Transfer,2024-12-17 10:37:00,Success,True,"40.0025 N, -83.0134 W",Mobile,5G,42,234,1859
T1792B26F,ACC68764,ACC53807,1171.23,Transfer,2024-01-18 10:29:00,Success,False,"32.69 N, -117.1122 W",Mobile,5G,15,88,1993
T8AE8BE12,ACC68322,ACC44762,1365.35,Transfer,2024-06-21 04:07:33,Success,False,"41.8609 N, -87.6416 W",Desktop,Ethernet,6,247,8723
T8DAE1801,ACC17167,ACC98216,1189.27,Deposit,2024-02-19 10:25:00,Success,False,"39.3398 N, -76.642 W",Desktop,Ethernet,6,60,3401
T0596B269,ACC39544,ACC52922,910.24,Withdrawal,2024-09-24 10:11:00,Success,False,"29.7986 N, -95.3539 W",Mobile,5G,16,243,7286
T2FC3C32C,ACC96309,ACC33210,319.68,Deposit,2024-08-09 04:07:33,Failed,True,"29.3844 N, -98.4575 W",Mobile,LTE,38,166,4291
TF255FA66,ACC76523,ACC95234,1341.86,Transfer,2024-05-24 10:59:00,Success,True,"42.4006 N, -71.0757 W",Mobile,LTE,81,95,4038
T5ADFD477,ACC12431,ACC50278,917.5,Transfer,2024-05-25 10:59:00,Failed,False,"32.7959 N, -97.3202 W",Desktop,Wi-Fi,18,153,4134
T5DCD40A3,ACC94948,ACC68204,0.01,Deposit,2024-07-21 10:51:00,Success,True,"47.6271 N, -122.3776 W",Mobile,Wi-Fi,11,64,5231
TDE77F8DA,ACC81093,ACC72767,384.21,Transfer,2024-12-27 10:03:00,Failed,False,"32.7927 N, -96.8421 W",Mobile,5G,38,248,3607
TF7C48BA6,ACC85639,ACC80929,548.93,Transfer,2024-04-05 10:49:00,Failed,True,"30.2296 N, -97.7562 W",Mobile,5G,24,88,3586
TF386A04F,ACC76684,ACC31384,1100.21,Transfer,2024-04-14 10:49:00,Success,True,"43.0029 N, -87.935 W",Desktop,Wi-Fi,23,110,5594
TECD98A05,ACC39496,ACC12590,1356.11,Transfer,2024-07-23 10:18:00,Failed,False,"32.7822 N, -97.2994 W",Desktop,Ethernet,5,56,1153
T9754E0A3,ACC73139,ACC10365,420.72,Transfer,2024-03-25 10:37:00,Success,False,"29.7977 N, -95.3994 W",Desktop,Ethernet,5,220,2894
TF2EB05B9,ACC12216,ACC68938,245.59,Transfer,2024-04-09 10:11:00,Failed,True,"32.7687 N, -97.3455 W",Desktop,Ethernet,4,56,7937
TCBF9C166,ACC88176,ACC46950,875.82,Transfer,2024-07-31 10:26:00,Failed,True,"47.5702 N, -122.2823 W",Desktop,Ethernet,8,77,7910
TCCC5EBDE,ACC30731,ACC95644,1233.39,Withdrawal,2024-09-21 10:44:00,Success,False,"34.0092 N, -118.2166 W",Mobile,LTE,70,159,4133
T31CBAF8B,ACC94948,ACC68204,0.01,Deposit,2024-01-13 10:51:00,Success,True,"30.3725 N, -81.7041 W",Mobile,5G,44,64,5231
T744F6B46,ACC60718,ACC19048,1146.73,Deposit,2024-03-13 10:35:00,Failed,False,"29.7191 N, -95.344 W",Desktop,Wi-Fi,14,63,7629
TD648F8ED,ACC84409,ACC68618,1121.31,Transfer,2024-02-24 10:38:00,Failed,False,"32.7371 N, -117.14 W",Mobile,5G,26,95,6745
TD746DDCB,ACC88350,ACC42527,193.35,Deposit,2024-11-09 10:15:00,Failed,True,"30.2847 N, -97.7229 W",Desktop,Wi-Fi,15,159,5418
TBDDE865E,ACC57840,ACC63698,493.04,Deposit,2024-09-30 10:41:00,Success,True,"29.7764 N, -95.3344 W",Mobile,5G,41,61,7145
T36999BB8,ACC79905,ACC26690,1307.54,Transfer,2024-02-07 10:17:00,Failed,True,"41.8905 N, -87.6521 W",Mobile,5G,40,180,1555
T66396F1B,ACC43896,ACC70488,668.82,Transfer,2024-11-16 10:21:00,Success,False,"35.1269 N, -106.6115 W",Mobile,5G,25,92,3517
T368C42A3,ACC49865,ACC86726,1081.36,Transfer,2024-05-01 10:12:00,Success,True,"40.6801 N, -73.9592 W",Desktop,Ethernet,4,58,6747
T623C0284,ACC78888,ACC97477,364.2,Withdrawal,2024-01-10 10:17:00,Failed,True,"39.9935 N, -83.0123 W",Mobile,5G,37,169,3057
T8CD82552,ACC17123,ACC17598,468.29,Deposit,2024-01-19 10:24:00,Failed,True,"39.9228 N, -75.2017 W",Desktop,Ethernet,5,144,6232
T9BB1AA4D,ACC38995,ACC74535,160.0,Transfer,2024-05-07 10:09:00,Success,False,"39.9296 N, -82.9489 W",Desktop,Ethernet,5,249,1104
TA46B9E1E,ACC67955,ACC99356,929.9,Transfer,2024-04-30 10:19:00,Success,False,"40.6631 N, -74.0236 W",Mobile,3G,125,134,3155
TA931548E,ACC92864,ACC70845,3458.32,Withdrawal,2024-09-29 10:54:00,Failed,False,"41.8397 N, -87.5806 W",Mobile,LTE,53,217,5677
TF98BBD76,ACC13689,ACC68542,1209.34,Deposit,2024-09-20 10:52:00,Success,True,"30.2567 N, -97.7821 W",Mobile,3G,190,180,1139
T8CC6C9C6,ACC49408,ACC26901,539.4,Transfer,2024-05-07 10:56:00,Success,True,"40.7609 N, -74.0497 W",Mobile,Wi-Fi,19,208,7319
TB5458EF5,ACC36029,ACC56028,1114.74,Withdrawal,2024-09-02 10:29:00,Success,True,"40.7321 N, -73.9809 W",Desktop,Ethernet,8,230,9952
T7721AD7F,ACC74018,ACC41258,628.16,Deposit,2024-07-17 10:02:00,Failed,False,"42.9904 N, -87.892 W",Mobile,5G,18,62,1592
TDF9C75CE,ACC62122,ACC26214,366.82,Withdrawal,2024-06-12 10:21:00,Success,False,"32.7625 N, -96.8293 W",Desktop,Wi-Fi,20,52,1115
T1D72C63F,ACC52777,ACC69706,263.79,Transfer,2024-11-05 10:10:00,Failed,True,"36.1727 N, -95.9441 W",Desktop,Ethernet,4,194,2018
T8F3DF424,ACC56902,ACC86151,591.01,Transfer,2024-10-27 10:41:00,Success,True,"32.8053 N, -96.8393 W",Desktop,Ethernet,2,228,6128
TB35DA3C4,ACC97327,ACC44378,1297.35,Transfer,2024-12-02 10:22:00,Failed,True,"32.7364 N, -96.7665 W",Desktop,Ethernet,2,89,6725
TCFB2BC09,ACC77412,ACC28013,198.65,Transfer,2024-08-17 10:37:00,Failed,False,"37.3798 N, -121.8611 W",Desktop,Wi-Fi,18,56,9622
T3AB90A7C,ACC80174,ACC53686,596.1,Transfer,2024-05-12 10:02:00,Success,False,"40.6792 N, -73.9623 W",Mobile,LTE,46,92,3575
T79B0AA37,ACC71245,ACC38629,855.53,Deposit,2024-12-06 10:12:00,Success,True,"38.2853 N, -85.7839 W",Mobile,5G,41,142,1683
T3277F7B5,ACC74018,ACC41258,628.16,Deposit,2024-12-02 10:02:00,Failed,False,"29.4123 N, -98.5244 W",Mobile,LTE,54,62,1592
TDF10991C,ACC67499,ACC22519,1119.13,Deposit,2024-02-17 10:39:00,Failed,False,"36.1353 N, -115.1791 W",Mobile,Wi-Fi,17,63,8138
T752B5661,ACC84357,ACC99000,1331.78,Transfer,2024-01-12 10:17:00,Success,True,"33.4114 N, -112.107 W",Mobile,5G,40,247,8075
T6D3933EA,ACC51051,ACC92100,292.99,Withdrawal,2024-01-02 10:55:00,Success,False,"36.1206 N, -86.7367 W",Desktop,Wi-Fi,8,93,2571
T3DFC6AB6,ACC58190,ACC24649,561.3,Withdrawal,2024-09-18 10:08:00,Failed,True,"33.728 N, -118.1634 W",Desktop,Wi-Fi,19,237,8550
TB40FBE9C,ACC50413,ACC36346,116.93,Withdrawal,2024-03-12 10:14:00,Success,True,"35.2094 N, -80.8238 W",Mobile,LTE,38,52,2635
T0F8648B3,ACC24137,ACC15360,1095.73,Transfer,2024-03-12 10:45:00,Success,True,"41.9208 N, -87.616 W",Mobile,3G,115,142,7040
